symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
IL12B	0.734570044957905	0.9791702558812919	0.8557951926872112	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.68368012743092	No data	No data	1	0	1	0	0	0	0	No data	0.05195808052950901	-0.7718641284023925	0	No data	No data	No data	0.5	1
JAK2	0.6652549355111901	0.8573104209729381	0.783952881683333	No data	No data	No data	No data	No data	No data	No data	No data	0.3039653988058105	No data	No data	No data	No data	No data	No data	0.5490833602935111	0.044717180888602215	No data	1	1	0	1	1	1	0.6863950000000003	1	-0.20904578047435185	-0.8880064639175258	0	255	255	0	-1	-1
TNF	0.6391840028416805	0.9916214110499576	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9871124720274257	0.024694282812137466	0.4555546318869283	1	1	1	1	1	1	0	0	-0.5784886927744071	-0.9827379260198055	0	255	No data	0	0.5	0.5
PPARG	0.6314192483119688	0.9939249676752208	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8279109549023195	0.14922910938682024	No data	1	0	0	1	1	1	0.9157899999999998	1	-0.5346938775510204	-0.9812084574342594	0	255	255	0	0.5	0
IL23A	0.6292896658762958	0.9791702558812919	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8882440371278042	0.21165984049952644	0.40074798178558063	1	0	1	0	0	0	0	No data	0.6069498069498069	-0.7944153438648616	0	No data	No data	No data	1	0.5
NOD2	0.6274498366612973	No data	0.5652418023841104	No data	No data	0.8776156542187763	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4140592562974071	0.024253303999953763	0.30287112337010963	1	0	0	1	1	0	0	No data	0.11947049089906225	-0.8143087360547074	0	No data	No data	0	0.5	0
PTGS2	0.6258582399171752	0.9940088311545024	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5228231775928183	0.21583880380939804	0.2988587801058729	1	0	0	1	1	0	0.3377499999999998	0	-0.8618863761720905	-0.9746906083086682	0	255	No data	-0.019040000000000036	0.5	0
NR3C1	0.6182604926762423	0.9955035106396655	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4244275960937919	0.012000310702214741	No data	1	0	0	1	1	1	0.5109400000000001	1	-0.8916712630998346	-0.9535439454461969	0	255	No data	0	-1	-1
PTGS1	0.6143725039193904	0.9940088311545024	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.32790432065359937	0.008643174766086505	No data	1	0	0	1	1	0	0.4741250000000001	1	-0.253392167677882	-0.9402028439291884	0	255	No data	-0.03171999999999997	0.5	0
ALOX5	0.6099824426049537	0.9939765705079739	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15774116066271215	0.06800272583195965	No data	1	0	0	1	1	0	0.6735900000000001	0	-0.06265857694429122	-0.28247970811937057	0	No data	No data	0	0.5	0
