sample_id	egan	egaf	file_name
CC002_germline	EGAN00002157437	EGAF00002549212	CC002_germline.bam
CC003_germline	EGAN00002157438	EGAF00002549215	CC003_germline.bam
CC004_germline	EGAN00002157527	EGAF00002549217	CC004_germline.bam
CC006_germline	EGAN00002157528	EGAF00002549220	CC006_germline.bam
CC008_germline	EGAN00002157529	EGAF00002549222	CC008_germline.bam
CC009_germline	EGAN00002157530	EGAF00002549224	CC009_germline.bam
CP26_germline	EGAN00002157443	EGAF00002549266	CP26_germline.bam
HCM-FFPE01_germline	EGAN00002157531	EGAF00002549719	HCM-FFPE01_germline.bam
HCM-FFPE02_germline	EGAN00002157532	EGAF00002549721	HCM-FFPE02_germline.bam
HCM-FFPE03_germline	EGAN00002157533	EGAF00002549723	HCM-FFPE03_germline.bam
HCM-FFPE04_germline	EGAN00002157534	EGAF00002549725	HCM-FFPE04_germline.bam
HCM-FFPE05_germline	EGAN00002157535	EGAF00002549727	HCM-FFPE05_germline.bam
HCM-FFPE06_germline	EGAN00002157536	EGAF00002549729	HCM-FFPE06_germline.bam
HCM-FFPE07_germline	EGAN00002157537	EGAF00002549731	HCM-FFPE07_germline.bam
HCM-FFPE08_germline	EGAN00002157538	EGAF00002549733	HCM-FFPE08_germline.bam
HCM-FFPE09_germline	EGAN00002157539	EGAF00002549735	HCM-FFPE09_germline.bam
HCM-FFPE10_germline	EGAN00002157540	EGAF00002549737	HCM-FFPE10_germline.bam
HCM-FFPE11_germline	EGAN00002157541	EGAF00002549739	HCM-FFPE11_germline.bam
HCM-FFPE12_germline	EGAN00002157542	EGAF00002549741	HCM-FFPE12_germline.bam
HCM-FFPE13_germline	EGAN00002157543	EGAF00002549743	HCM-FFPE13_germline.bam
HCM-FFPE14_germline	EGAN00002157544	EGAF00002549772	HCM-FFPE14_germline.bam
HCM-FFPE15_germline	EGAN00002157545	EGAF00002549774	HCM-FFPE15_germline.bam
HCM-FFPE16_germline	EGAN00002157546	EGAF00002549776	HCM-FFPE16_germline.bam
HCM-FFPE17_germline	EGAN00002157547	EGAF00002549778	HCM-FFPE17_germline.bam
HCM-FFPE18_germline	EGAN00002157548	EGAF00002549780	HCM-FFPE18_germline.bam
HCM-FFPE19_germline	EGAN00002157549	EGAF00002549782	HCM-FFPE19_germline.bam
HCM09_germline	EGAN00002157461	EGAF00002549784	HCM09_germline.bam
HCM14_germline	EGAN00002157550	EGAF00002549786	HCM14_germline.bam
HCM15_germline	EGAN00002157477	EGAF00002549893	HCM15_germline.bam
HCM17_germline	EGAN00002157551	EGAF00002549173	HCM17_germline.bam
HCM18_germline	EGAN00002157479	EGAF00002549283	HCM18_germline.bam
HCM20_germline	EGAN00002157480	EGAF00002549335	HCM20_germline.bam
HCM21_germline	EGAN00002157481	EGAF00002549475	HCM21_germline.bam
HCM22_germline	EGAN00002157482	EGAF00002549550	HCM22_germline.bam
HCM26_germline	EGAN00002157554	EGAF00002549552	HCM26_germline.bam
HCM27_germline	EGAN00002157483	EGAF00002549588	HCM27_germline.bam
UC10_germline	EGAN00002157463	EGAF00002549602	UC10_germline.bam
UC11_germline	EGAN00002157464	EGAF00002549606	UC11_germline.bam
UC12_germline	EGAN00002157466	EGAF00002549609	UC12_germline.bam
UC13_germline	EGAN00002157467	EGAF00002549640	UC13_germline.bam
UC14_germline	EGAN00002157468	EGAF00002549644	UC14_germline.bam
UC16_germline	EGAN00002157469	EGAF00002549647	UC16_germline.bam
UC17_germline	EGAN00002157470	EGAF00002549651	UC17_germline.bam
UC18_germline	EGAN00002157471	EGAF00002549655	UC18_germline.bam
UC19_germline	EGAN00002157472	EGAF00002549659	UC19_germline.bam
UC1_germline	EGAN00002157465	EGAF00002549598	UC1_germline.bam
UC20_germline	EGAN00002157473	EGAF00002549695	UC20_germline.bam
UC21_germline	EGAN00002157484	EGAF00002549704	UC21_germline.bam
UC22_germline	EGAN00002157485	EGAF00002549711	UC22_germline.bam
UC23_germline	EGAN00002157486	EGAF00002549745	UC23_germline.bam
UC24_germline	EGAN00002157487	EGAF00002549752	UC24_germline.bam
UC25_germline	EGAN00002157488	EGAF00002549760	UC25_germline.bam
UC26_germline	EGAN00002157489	EGAF00002549768	UC26_germline.bam
UC28_germline	EGAN00002157490	EGAF00002549802	UC28_germline.bam
UC29_germline	EGAN00002157491	EGAF00002549809	UC29_germline.bam
UC2_germline	EGAN00002157474	EGAF00002549691	UC2_germline.bam
UC30_germline	EGAN00002157492	EGAF00002549824	UC30_germline.bam
UC31_germline	EGAN00002157493	EGAF00002549858	UC31_germline.bam
UC32_germline	EGAN00002157494	EGAF00002549865	UC32_germline.bam
UC33_germline	EGAN00002157495	EGAF00002549873	UC33_germline.bam
UC34_germline	EGAN00002157496	EGAF00002549907	UC34_germline.bam
UC35_germline	EGAN00002157497	EGAF00002549914	UC35_germline.bam
UC36_germline	EGAN00002157498	EGAF00002549921	UC36_germline.bam
UC38_germline	EGAN00002157499	EGAF00002549928	UC38_germline.bam
UC39_germline	EGAN00002157500	EGAF00002549135	UC39_germline.bam
UC3_germline	EGAN00002157475	EGAF00002549817	UC3_germline.bam
UC40_germline	EGAN00002157501	EGAF00002549144	UC40_germline.bam
UC41_germline	EGAN00002157502	EGAF00002549151	UC41_germline.bam
UC42_germline	EGAN00002157503	EGAF00002549158	UC42_germline.bam
UC43_germline	EGAN00002157553	EGAF00002549160	UC43_germline.bam
UC4_germline	EGAN00002157552	EGAF00002549137	UC4_germline.bam
UC7_germline	EGAN00002157504	EGAF00002549192	UC7_germline.bam
UC8_germline	EGAN00002157505	EGAF00002549197	UC8_germline.bam
UC9_germline	EGAN00002157476	EGAF00002549201	UC9_germline.bam
